date,open,high,low,close,volume,amount,pctChg,turn
2024-07-30,175.37323706,177.39287209,175.37323706,176.97171597,12725163,2349179517.95,0.1951,0.3267
2024-07-31,174.205486,178.87649024,174.205486,178.33090163,19896940,3690880179.03,0.768,0.5109
2024-08-01,177.077005,178.034178,172.3868573,172.5782919,23012659,4180640117.67,-3.2258,0.5908
2024-08-02,171.333967,172.29114,169.17075602,169.50576657,15493685,2753866402.32,-1.7804,0.3978
2024-08-05,167.51484673,172.47300287,167.505275,169.419621,19347659,3451887572.32,-0.0508,0.4967
2024-08-06,170.76923493,171.70726447,166.27052183,167.45741635,15768703,2771240102.29,-1.1582,0.4049
2024-08-07,167.45741635,168.68259779,166.23223491,166.23223491,12753959,2230380711.06,-0.7316,0.3275
2024-08-08,165.60050073,166.1652328,162.83427076,165.0166252,14658996,2520197340.45,-0.7313,0.3764
2024-08-09,166.1652328,167.38084251,162.71941,162.71941,15412989,2646422840.31,-1.3921,0.3957
2024-08-12,163.26499861,163.79144376,159.6564564,161.762237,17415581,2934605437.63,-0.5882,0.4471
2024-08-13,161.65694797,167.46698808,161.16878974,166.33752394,19389256,3336604796.24,2.8284,0.4978
2024-08-14,165.58135727,166.97882985,164.36574756,164.83476233,9966285,1720375362.23,-0.9034,0.2559
2024-08-15,164.633756,167.1224058,163.95416317,165.9737982,14481202,2511442939.39,0.691,0.3718
2024-08-16,165.9737982,168.462448,165.47606824,166.18437626,11150641,1941327488.98,0.1269,0.2863
2024-08-19,165.92593955,170.31936362,165.73450495,168.0795788,14035843,2473581500.63,1.1404,0.3604
2024-08-20,167.505275,168.462448,166.22266318,167.38084251,8436955,1475662465.92,-0.4157,0.2166
2024-08-21,166.548102,167.89771593,164.633756,166.55767373,11147405,1940113037.72,-0.4918,0.2862
2024-08-22,167.48613154,172.26242481,166.8352539,171.1425324,19901136,3536569763.92,2.7527,0.511
2024-08-23,169.419621,174.70321596,169.419621,174.0140514,18415176,3332172741.09,1.6779,0.4728
2024-08-26,174.1097687,176.65584888,173.248313,176.04325816,14838749,2717728514.01,1.1661,0.381
2024-08-27,174.70321596,176.58884677,173.7268995,175.6412455,9976992,1827225122.26,-0.2284,0.2562
2024-08-28,174.9712244,175.82310837,173.51632144,174.99036786,10639015,1940292275.3,-0.3706,0.2732
2024-08-29,171.49668641,175.15308727,171.49668641,173.0568784,15670242,2839993927.17,-1.1049,0.4023
2024-08-30,173.0568784,177.99589108,173.0568784,176.44527082,25429171,4689604094.32,1.958,0.6529
2024-09-02,176.54098812,177.64173707,173.248313,173.43017587,12985176,2371406001.78,-1.7088,0.3334
2024-09-03,172.5782919,178.7041991,172.31028346,177.69916745,18196886,3362146073.33,2.4615,0.4672
2024-09-04,177.38330036,180.905697,176.93342905,179.13492695,16564524,3101382415.29,0.808,0.4253
2024-09-05,179.13492695,181.43214215,177.8427434,178.7999164,12318215,2302962597.23,-0.187,0.3163
2024-09-06,178.14903876,180.4271105,177.4598742,177.98631935,7525486,1404159124.51,-0.455,0.1932
2024-09-09,177.18229403,180.58025818,175.61253031,177.22058095,13475355,2494206446.2,-0.4302,0.346
2024-09-10,177.5555915,177.5555915,173.29617165,173.40146068,15424413,2809100737.45,-2.155,0.396
2024-09-11,174.5883552,179.73794594,173.40146068,178.57019488,21197083,3938430662.64,2.9808,0.5442
2024-09-12,179.948524,183.93036368,178.71377083,181.24070755,20709986,3931885572.83,1.4955,0.5317
2024-09-13,180.79083624,180.79083624,175.6412455,175.6412455,17287288,3202147524.27,-3.0895,0.4438
