date,open,high,low,close,volume,amount,pctChg,turn
2024-05-17,38.2971064,39.7025048,38.1653503,39.7025048,189457995,8380485072.81,4.9942,1.7603
2024-05-20,40.1416918,40.46669018,39.37750642,39.93088204,147945253,6725122982.13,0.5752,1.3746
2024-05-21,39.59709992,40.00115196,39.54439748,39.8781796,55109616,2495802387.92,-0.132,0.512
2024-05-22,39.7903422,40.4491227,39.6585861,39.8781796,75133666,3432737425.71,0.0,0.6981
2024-05-23,39.45656008,39.67615358,39.10521048,39.33358772,63592313,2847873001.03,-1.3656,0.5909
2024-05-24,39.1315617,39.3511552,38.52548364,38.55183486,54128575,2397751034.49,-1.9875,0.5029
2024-05-27,38.648456,38.99102186,38.54305112,38.7362934,41274221,1820441915.17,0.4785,0.3835
2024-05-28,38.78899584,38.9558869,38.31467388,38.43764624,42192179,1853750116.11,-0.771,0.392
2024-05-29,38.28832266,38.76264462,38.08629664,38.18291778,43942250,1921502308.37,-0.6627,0.4083
2024-05-30,38.04237794,38.34980884,37.6822446,37.9018381,39395493,1702193305.05,-0.7361,0.366
2024-05-31,38.1214316,38.7362934,37.82278444,37.83156818,48249218,2100267340.71,-0.1854,0.4483
2024-06-03,37.76129826,38.17413404,37.42751614,37.88427062,44651840,1922692312.43,0.1393,0.4149
2024-06-04,37.84035192,38.21805274,37.77886574,38.00724298,39817760,1723254938.55,0.3246,0.37
2024-06-05,37.99845924,38.01602672,37.71737956,37.84035192,36188007,1559233049.65,-0.4391,0.3362
2024-06-06,37.9457568,38.05994542,37.21670638,37.2869763,54262089,2313057245.12,-1.4624,0.5042
2024-06-07,37.4187324,37.57683972,36.891708,36.99711288,42139379,1781350640.17,-0.7774,0.3915
2024-06-11,36.81265434,37.05859906,36.5403584,36.74238442,42236279,1767535002.98,-0.6885,0.3924
2024-06-12,36.74238442,36.8038706,36.32954864,36.3646836,39834017,1653283609.36,-1.028,0.3701
2024-06-13,36.52279092,36.59306084,36.18022506,36.2768462,32042801,1323757553.96,-0.2415,0.2977
2024-06-14,36.18022506,37.05859906,36.15387384,36.77751938,63562438,2651178961.93,1.3801,0.5906
2024-06-17,36.5403584,36.74238442,36.34711612,36.52279092,38472747,1600335662.58,-0.6926,0.3575
2024-06-18,36.6281958,36.9356267,36.51400718,36.65454702,35345219,1476476517.64,0.3608,0.3284
2024-06-19,36.66333076,37.05859906,36.54914214,36.891708,41063957,1721419835.21,0.647,0.3815
